question_en,question_hi,question_mr,intent,answer_en,answer_hi,answer_mr
What is how to apply for students?,क्या है कैसे आवेदन करें for students?,काय आहे कसे अर्ज करावे for students?,admission,Admissions are processed through the college portal. Check eligibility and apply online.,प्रवेश कॉलेज पोर्टल के माध्यम से होते हैं। पात्रता देखें और ऑनलाइन आवेदन करें।,प्रवेश कॉलेज पोर्टलद्वारे प्रक्रिया आकारले जातात. पात्रता तपासा आणि ऑनलाइन अर्ज करा.
What is revaluation process for students?,क्या है पुनर्मूल्यांकन प्रक्रिया for students?,काय आहे पुनर्मूल्यांकन प्रक्रिया for students?,results,Results are published on the official college website and student portal.,"पुनर्मूल्यांकन के लिए, परीक्षा पेज पर उपलब्ध प्रक्रिया का पालन करें।",पुनर्मूल्यांकन साठी परीक्षा पृष्ठावरील प्रक्रिया पाळा.
What is how to apply please?,क्या है कैसे आवेदन करें please?,काय आहे कसे अर्ज करावे please?,admission,You can apply online through the official admissions portal. Keep your documents ready.,प्रवेश कॉलेज पोर्टल के माध्यम से होते हैं। पात्रता देखें और ऑनलाइन आवेदन करें।,प्रवेश कॉलेज पोर्टलद्वारे प्रक्रिया आकारले जातात. पात्रता तपासा आणि ऑनलाइन अर्ज करा.
What is late fee for students?,क्या है लेट फीस for students?,काय आहे लेट फी for students?,fees,Fees can be paid online via the portal or at the accounts office.,पात्र छात्रों के लिए छात्रवृत्ति उपलब्ध हैं; छात्रवृत्ति पृष्ठ देखें।,पात्र विद्यार्थ्यांसाठी शिष्यवृत्ती उपलब्ध आहेत; शिष्यवृत्ती पृष्ठ तपासा.
Where can I exam registration for this year?,कहाँ मैं परीक्षा पंजीकरण for this year?,मी कुठे परीक्षा नोंदणी for this year?,exam,Exam dates are published on the student portal. Please check the exam section for details.,एडमिट कार्ड परीक्षा से कुछ दिन पहले पोर्टल पर उपलब्ध होते हैं।,एडमिट कार्ड परीक्षा आधी काही दिवस पोर्टलवर उपलब्ध असतात.
Where can I admission portal please?,कहाँ मैं प्रवेश पोर्टल please?,मी कुठे प्रवेश पोर्टल please?,admission,You can apply online through the official admissions portal. Keep your documents ready.,आवेदन की आखिरी तारीख वेबसाइट पर प्रकाशित होती है — प्रवेश पृष्ठ नियमित रूप से देखें।,आपण अधिकृत प्रवेश पोर्टलद्वारे ऑनलाइन अर्ज करू शकता. आपले दस्तऐवज तयार ठेवा.
Tell me admission portal?,बताइए प्रवेश पोर्टल?,मला सांगू प्रवेश पोर्टल?,admission,Admissions are processed through the college portal. Check eligibility and apply online.,आप आधिकारिक प्रवेश पोर्टल के माध्यम से ऑनलाइन आवेदन कर सकते हैं। अपने दस्तावेज़ तैयार रखें।,प्रवेश कॉलेज पोर्टलद्वारे प्रक्रिया आकारले जातात. पात्रता तपासा आणि ऑनलाइन अर्ज करा.
Is there timetable portal for students?,क्या वहाँ है टाइमटेबल पोर्टल for students?,आहे का वेळापत्रक पोर्टल for students?,timetable,The timetable is available in the student portal under the timetable section.,कक्षा समय सारणी प्रत्येक सेमेस्टर में प्रकाशित की जाती है। अपना पीडीएफ डैशबोर्ड से डाउनलोड करें।,वेळापत्रक बदल असल्यास कॉलेज ते पोर्टलवर आणि नोटिस बोर्डवर अपडेट करतो.
Can I result notification?,क्या मैं परिणाम सूचना?,मी करू शकतो का निकाल सूचना?,results,"For revaluation, follow the procedure available on the examination page.","पुनर्मूल्यांकन के लिए, परीक्षा पेज पर उपलब्ध प्रक्रिया का पालन करें।",निकाल अधिकृत कॉलेज वेबसाइट आणि विद्यार्थी पोर्टलवर प्रकाशित केले जातात.
What is pass percentage for students?,क्या है पास प्रतिशत for students?,काय आहे पास टक्केवारी for students?,results,You can download your marksheet from the results section after declaration.,"पुनर्मूल्यांकन के लिए, परीक्षा पेज पर उपलब्ध प्रक्रिया का पालन करें।",निकाल अधिकृत कॉलेज वेबसाइट आणि विद्यार्थी पोर्टलवर प्रकाशित केले जातात.
Is there marks sheet?,क्या वहाँ है मार्कशीट?,आहे का मार्कशीट?,results,You can download your marksheet from the results section after declaration.,"पुनर्मूल्यांकन के लिए, परीक्षा पेज पर उपलब्ध प्रक्रिया का पालन करें।",पुनर्मूल्यांकन साठी परीक्षा पृष्ठावरील प्रक्रिया पाळा.
Show me update timetable?,मुझे दिखाइए समय सारणी अपडेट?,मला दाखवा वेळापत्रक अपडेट?,timetable,The timetable is available in the student portal under the timetable section.,समय सारणी छात्र पोर्टल के समय सारणी अनुभाग में उपलब्ध है।,वेळापत्रक विद्यार्थी पोर्टलवर वेळापत्रक विभागात उपलब्ध आहे.
Where can I revaluation process please?,कहाँ मैं पुनर्मूल्यांकन प्रक्रिया please?,मी कुठे पुनर्मूल्यांकन प्रक्रिया please?,results,You can download your marksheet from the results section after declaration.,परिणाम आधिकारिक कॉलेज वेबसाइट और छात्र पोर्टल पर प्रकाशित किए जाते हैं।,घोषणेनंतर तुमचा मार्कशीट निकाल विभागातून डाउनलोड करू शकता.
Tell me how to pay fees please?,बताइए फीस कैसे भरें please?,मला सांगू फीस कसे भरणे please?,fees,Scholarships are available for eligible students; check the scholarships page.,फीस पोर्टल के माध्यम से ऑनलाइन या अकाउंट्स ऑफिस में भरी जा सकती है।,पात्र विद्यार्थ्यांसाठी शिष्यवृत्ती उपलब्ध आहेत; शिष्यवृत्ती पृष्ठ तपासा.
Is there application deadline?,क्या वहाँ है आवेदन की अंतिम तिथि?,आहे का अर्जाची अंतिम तारीख?,admission,Admissions are processed through the college portal. Check eligibility and apply online.,आवेदन की आखिरी तारीख वेबसाइट पर प्रकाशित होती है — प्रवेश पृष्ठ नियमित रूप से देखें।,आपण अधिकृत प्रवेश पोर्टलद्वारे ऑनलाइन अर्ज करू शकता. आपले दस्तऐवज तयार ठेवा.
Is there how to apply for students?,क्या वहाँ है कैसे आवेदन करें for students?,आहे का कसे अर्ज करावे for students?,admission,Application deadlines are posted on the website — check the admissions page regularly.,आप आधिकारिक प्रवेश पोर्टल के माध्यम से ऑनलाइन आवेदन कर सकते हैं। अपने दस्तावेज़ तैयार रखें।,प्रवेश कॉलेज पोर्टलद्वारे प्रक्रिया आकारले जातात. पात्रता तपासा आणि ऑनलाइन अर्ज करा.
Where can I exam schedule for students?,कहाँ मैं परीक्षा समय सारणी for students?,मी कुठे परीक्षा वेळापत्रक for students?,exam,Exam dates are published on the student portal. Please check the exam section for details.,एडमिट कार्ड परीक्षा से कुछ दिन पहले पोर्टल पर उपलब्ध होते हैं।,परीक्षेच्या तारखा विद्यार्थी पोर्टलवर प्रकाशित केल्या जातात. तपशीलांसाठी परीक्षा विभाग पाहा.
Can I scholarship?,क्या मैं छात्रवृत्ति?,मी करू शकतो का शिष्यवृत्ती?,fees,Scholarships are available for eligible students; check the scholarships page.,पात्र छात्रों के लिए छात्रवृत्ति उपलब्ध हैं; छात्रवृत्ति पृष्ठ देखें।,पात्र विद्यार्थ्यांसाठी शिष्यवृत्ती उपलब्ध आहेत; शिष्यवृत्ती पृष्ठ तपासा.
What is result notification?,क्या है परिणाम सूचना?,काय आहे निकाल सूचना?,results,"For revaluation, follow the procedure available on the examination page.",परिणाम आधिकारिक कॉलेज वेबसाइट और छात्र पोर्टल पर प्रकाशित किए जाते हैं।,पुनर्मूल्यांकन साठी परीक्षा पृष्ठावरील प्रक्रिया पाळा.
Show me fee structure for this year?,मुझे दिखाइए फीस संरचना for this year?,मला दाखवा फी संरचना for this year?,fees,Fee structure depends on the course. Check the fees section on the official website.,पात्र छात्रों के लिए छात्रवृत्ति उपलब्ध हैं; छात्रवृत्ति पृष्ठ देखें।,फी पोर्टलद्वारे ऑनलाइन किंवा अकाउंट्स ऑफिसमध्ये भरता येतात.
Show me timetable pdf?,मुझे दिखाइए टाइमटेबल पीडीएफ?,मला दाखवा वेळापत्रक PDF?,timetable,Class timetables are published each semester. Download the PDF from your dashboard.,"यदि समय सारणी में परिवर्तन हुए हैं, कॉलेज उन्हें पोर्टल और नोटिस बोर्ड पर अपडेट करता है।",वेळापत्रक बदल असल्यास कॉलेज ते पोर्टलवर आणि नोटिस बोर्डवर अपडेट करतो.
Do you have timetable pdf for students?,क्या आपके पास है टाइमटेबल पीडीएफ for students?,तुमच्याकडे आहे का वेळापत्रक PDF for students?,timetable,The timetable is available in the student portal under the timetable section.,"यदि समय सारणी में परिवर्तन हुए हैं, कॉलेज उन्हें पोर्टल और नोटिस बोर्ड पर अपडेट करता है।",क्लास वेळापत्रक प्रत्येक सेमेस्टरमध्ये प्रकाशित केले जाते. तुमच्या डॅशबोर्डवरून PDF डाउनलोड करा.
Show me documents required please?,मुझे दिखाइए आवश्यक दस्तावेज़ please?,मला दाखवा आवश्यक कागदपत्रे please?,admission,You can apply online through the official admissions portal. Keep your documents ready.,प्रवेश कॉलेज पोर्टल के माध्यम से होते हैं। पात्रता देखें और ऑनलाइन आवेदन करें।,अर्जांची अंतिम तारीख वेबसाइटवर प्रकाशित केली जाते — प्रवेश पृष्ठ नियमितपणे तपासा.
Who handles lab timetable please?,कौन संभालता है प्रयोगशाळा समय सारणी please?,कोण सांभाळतो लॅब वेळापत्रक please?,timetable,"If there are timetable changes, the college updates them on the portal and via notice board.",समय सारणी छात्र पोर्टल के समय सारणी अनुभाग में उपलब्ध है।,वेळापत्रक विद्यार्थी पोर्टलवर वेळापत्रक विभागात उपलब्ध आहे.
Do you have update timetable?,क्या आपके पास है समय सारणी अपडेट?,तुमच्याकडे आहे का वेळापत्रक अपडेट?,timetable,"If there are timetable changes, the college updates them on the portal and via notice board.",कक्षा समय सारणी प्रत्येक सेमेस्टर में प्रकाशित की जाती है। अपना पीडीएफ डैशबोर्ड से डाउनलोड करें।,वेळापत्रक विद्यार्थी पोर्टलवर वेळापत्रक विभागात उपलब्ध आहे.
When are admission fees please?,कब हैं प्रवेश शुल्क please?,केव्हा आहेत प्रवेश फी please?,admission,Application deadlines are posted on the website — check the admissions page regularly.,आप आधिकारिक प्रवेश पोर्टल के माध्यम से ऑनलाइन आवेदन कर सकते हैं। अपने दस्तावेज़ तैयार रखें।,प्रवेश कॉलेज पोर्टलद्वारे प्रक्रिया आकारले जातात. पात्रता तपासा आणि ऑनलाइन अर्ज करा.
What is fee receipt please?,क्या है फीस रसीद please?,काय आहे फी पावती please?,fees,Scholarships are available for eligible students; check the scholarships page.,फीस संरचना कोर्स पर निर्भर करती है। आधिकारिक वेबसाइट पर फीस अनुभाग देखें।,पात्र विद्यार्थ्यांसाठी शिष्यवृत्ती उपलब्ध आहेत; शिष्यवृत्ती पृष्ठ तपासा.
Who handles documents required for students?,कौन संभालता है आवश्यक दस्तावेज़ for students?,कोण सांभाळतो आवश्यक कागदपत्रे for students?,admission,Application deadlines are posted on the website — check the admissions page regularly.,प्रवेश कॉलेज पोर्टल के माध्यम से होते हैं। पात्रता देखें और ऑनलाइन आवेदन करें।,अर्जांची अंतिम तारीख वेबसाइटवर प्रकाशित केली जाते — प्रवेश पृष्ठ नियमितपणे तपासा.
How to tuition fees?,कैसे शिक्षण शुल्क?,कसे शिक्षण फी?,fees,Fee structure depends on the course. Check the fees section on the official website.,फीस संरचना कोर्स पर निर्भर करती है। आधिकारिक वेबसाइट पर फीस अनुभाग देखें।,फी संरचना कोर्सवर अवलंबून असते. अधिकृत वेबसाइटवर फी विभाग पहा.
How to view timetable for this year?,कैसे समय सारणी देखें for this year?,कसे वेळापत्रक पहा for this year?,timetable,Class timetables are published each semester. Download the PDF from your dashboard.,"यदि समय सारणी में परिवर्तन हुए हैं, कॉलेज उन्हें पोर्टल और नोटिस बोर्ड पर अपडेट करता है।",क्लास वेळापत्रक प्रत्येक सेमेस्टरमध्ये प्रकाशित केले जाते. तुमच्या डॅशबोर्डवरून PDF डाउनलोड करा.
Do you have revaluation for this year?,क्या आपके पास है पुनर्मूल्यांकन for this year?,तुमच्याकडे आहे का पुनर्मूल्यांकन for this year?,exam,Exam dates are published on the student portal. Please check the exam section for details.,परीक्षा की तिथियां छात्र पोर्टल पर प्रकाशित की जाती हैं। विवरण के लिए परीक्षा अनुभाग देखें।,प्रत्येक सेमेस्टरच्या अगोदर परीक्षा वेळापत्रक जाहीर केले जाते. शैक्षणिक कॅलेंडर पहा.
Is there timetable pdf please?,क्या वहाँ है टाइमटेबल पीडीएफ please?,आहे का वेळापत्रक PDF please?,timetable,The timetable is available in the student portal under the timetable section.,"यदि समय सारणी में परिवर्तन हुए हैं, कॉलेज उन्हें पोर्टल और नोटिस बोर्ड पर अपडेट करता है।",क्लास वेळापत्रक प्रत्येक सेमेस्टरमध्ये प्रकाशित केले जाते. तुमच्या डॅशबोर्डवरून PDF डाउनलोड करा.
Is there pass percentage for this year?,क्या वहाँ है पास प्रतिशत for this year?,आहे का पास टक्केवारी for this year?,results,"For revaluation, follow the procedure available on the examination page.",परिणाम आधिकारिक कॉलेज वेबसाइट और छात्र पोर्टल पर प्रकाशित किए जाते हैं।,घोषणेनंतर तुमचा मार्कशीट निकाल विभागातून डाउनलोड करू शकता.
What is result portal please?,क्या है परिणाम पोर्टल please?,काय आहे निकाल पोर्टल please?,results,You can download your marksheet from the results section after declaration.,घोषणा के बाद आप परिणाम अनुभाग से अपना मार्कशीट डाउनलोड कर सकते हैं।,निकाल अधिकृत कॉलेज वेबसाइट आणि विद्यार्थी पोर्टलवर प्रकाशित केले जातात.
Do you have fee refund?,क्या आपके पास है फीस रिफंड?,तुमच्याकडे आहे का फी परतावा?,fees,Scholarships are available for eligible students; check the scholarships page.,फीस पोर्टल के माध्यम से ऑनलाइन या अकाउंट्स ऑफिस में भरी जा सकती है।,फी संरचना कोर्सवर अवलंबून असते. अधिकृत वेबसाइटवर फी विभाग पहा.
When are fee concession?,कब हैं फीस रियायती?,केव्हा आहेत फी सवलत?,fees,Fee structure depends on the course. Check the fees section on the official website.,फीस संरचना कोर्स पर निर्भर करती है। आधिकारिक वेबसाइट पर फीस अनुभाग देखें।,फी संरचना कोर्सवर अवलंबून असते. अधिकृत वेबसाइटवर फी विभाग पहा.
Who handles entrance exam please?,कौन संभालता है प्रवेश परीक्षा please?,कोण सांभाळतो प्रवेश परीक्षा please?,admission,You can apply online through the official admissions portal. Keep your documents ready.,प्रवेश कॉलेज पोर्टल के माध्यम से होते हैं। पात्रता देखें और ऑनलाइन आवेदन करें।,अर्जांची अंतिम तारीख वेबसाइटवर प्रकाशित केली जाते — प्रवेश पृष्ठ नियमितपणे तपासा.
Can I grade card?,क्या मैं ग्रेड कार्ड?,मी करू शकतो का ग्रेड कार्ड?,results,You can download your marksheet from the results section after declaration.,घोषणा के बाद आप परिणाम अनुभाग से अपना मार्कशीट डाउनलोड कर सकते हैं।,घोषणेनंतर तुमचा मार्कशीट निकाल विभागातून डाउनलोड करू शकता.
What is entrance exam for this year?,क्या है प्रवेश परीक्षा for this year?,काय आहे प्रवेश परीक्षा for this year?,admission,You can apply online through the official admissions portal. Keep your documents ready.,आप आधिकारिक प्रवेश पोर्टल के माध्यम से ऑनलाइन आवेदन कर सकते हैं। अपने दस्तावेज़ तैयार रखें।,आपण अधिकृत प्रवेश पोर्टलद्वारे ऑनलाइन अर्ज करू शकता. आपले दस्तऐवज तयार ठेवा.
Do you have tuition fees for students?,क्या आपके पास है शिक्षण शुल्क for students?,तुमच्याकडे आहे का शिक्षण फी for students?,fees,Fee structure depends on the course. Check the fees section on the official website.,फीस संरचना कोर्स पर निर्भर करती है। आधिकारिक वेबसाइट पर फीस अनुभाग देखें।,पात्र विद्यार्थ्यांसाठी शिष्यवृत्ती उपलब्ध आहेत; शिष्यवृत्ती पृष्ठ तपासा.
Is there lab timetable?,क्या वहाँ है प्रयोगशाळा समय सारणी?,आहे का लॅब वेळापत्रक?,timetable,"If there are timetable changes, the college updates them on the portal and via notice board.","यदि समय सारणी में परिवर्तन हुए हैं, कॉलेज उन्हें पोर्टल और नोटिस बोर्ड पर अपडेट करता है।",वेळापत्रक बदल असल्यास कॉलेज ते पोर्टलवर आणि नोटिस बोर्डवर अपडेट करतो.
Do you have update timetable for this year?,क्या आपके पास है समय सारणी अपडेट for this year?,तुमच्याकडे आहे का वेळापत्रक अपडेट for this year?,timetable,The timetable is available in the student portal under the timetable section.,समय सारणी छात्र पोर्टल के समय सारणी अनुभाग में उपलब्ध है।,क्लास वेळापत्रक प्रत्येक सेमेस्टरमध्ये प्रकाशित केले जाते. तुमच्या डॅशबोर्डवरून PDF डाउनलोड करा.
Do you have exam registration?,क्या आपके पास है परीक्षा पंजीकरण?,तुमच्याकडे आहे का परीक्षा नोंदणी?,exam,The exam schedule is released before each semester. Look at the academic calendar.,परीक्षा कार्यक्रम प्रत्येक सेमेस्टर से पहले जारी किया जाता है। शैक्षणिक कैलेंडर देखें।,एडमिट कार्ड परीक्षा आधी काही दिवस पोर्टलवर उपलब्ध असतात.
How to admission process for this year?,कैसे प्रवेश प्रक्रिया for this year?,कसे प्रवेश प्रक्रिया for this year?,admission,You can apply online through the official admissions portal. Keep your documents ready.,प्रवेश कॉलेज पोर्टल के माध्यम से होते हैं। पात्रता देखें और ऑनलाइन आवेदन करें।,प्रवेश कॉलेज पोर्टलद्वारे प्रक्रिया आकारले जातात. पात्रता तपासा आणि ऑनलाइन अर्ज करा.
Is there result date for students?,क्या वहाँ है परिणाम तिथि for students?,आहे का निकाल तारीख for students?,results,Results are published on the official college website and student portal.,"पुनर्मूल्यांकन के लिए, परीक्षा पेज पर उपलब्ध प्रक्रिया का पालन करें।",पुनर्मूल्यांकन साठी परीक्षा पृष्ठावरील प्रक्रिया पाळा.
